,City,Country,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
79,saint anthony,US,43.97,-111.68,66.99,5,1,4.07
80,bairiki,,,,,,,
81,banjarmasin,ID,-3.32,114.59,78.62,87,48,5.75
82,brigantine,US,39.41,-74.36,80.53,76,75,9.17
83,mocuba,MZ,-16.84,36.99,80.33,50,0,7.99
84,olafsvik,,,,,,,
85,ponta do sol,BR,-20.63,-46,69.08,100,92,7.76
86,upernavik,GL,72.79,-56.15,33.89,100,80,13.35
87,souillac,FR,45.6,-0.6,81.41,48,0,3.36
88,port hueneme,US,34.15,-119.2,74.73,68,1,9.17
89,cape town,ZA,-33.93,18.42,59,82,75,26.4
90,angoram,PG,-4.06,144.07,72.68,100,92,2.17
91,chuy,UY,-33.69,-53.46,66.56,94,92,10.45
92,talnakh,RU,69.49,88.39,32,100,88,5.97
93,iqaluit,CA,63.75,-68.52,35.6,80,75,16.11
94,saskylakh,RU,71.97,114.09,33.17,89,80,3.06
95,kovdor,RU,67.56,30.47,44.96,80,76,6.76
96,cullera,ES,39.16,-0.25,77,83,75,5.82
97,sydney mines,CA,46.24,-60.22,80.6,57,75,14.99
98,te anau,NZ,-45.41,167.72,31.64,97,56,2.95
99,batagay,RU,67.65,134.64,32.9,95,92,4.97
100,clarence town,AU,-32.59,151.78,46.4,81,0,4.7
101,butaritari,KI,3.07,172.79,82.85,100,36,9.22
102,navahrudak,BY,53.59,25.82,58.46,65,8,9.22
103,bredasdorp,ZA,-34.53,20.04,60.8,59,76,9.17
104,vila franca do campo,PT,37.72,-25.43,73.4,83,75,3.36
105,namibe,AO,-15.19,12.15,65.57,100,88,3.18
106,jiazi,CN,19.61,110.49,80.6,94,20,8.95
107,lorengau,PG,-2.02,147.27,81.5,100,80,8.77
108,creston,US,41.06,-94.36,89.11,52,20,10.29
109,nantucket,US,41.28,-70.1,74.84,81,1,8.05
110,nizhneyansk,,,,,,,
111,richards bay,ZA,-28.77,32.06,72.32,78,0,11.9
112,kahului,US,20.89,-156.47,75.74,69,20,10.29
113,det udom,TH,14.9,105.08,77,94,40,3.36
114,kapaa,US,22.08,-159.32,77.59,79,90,14.99
115,igarka,RU,67.47,86.57,28.85,89,0,3.74
116,baie-saint-paul,CA,47.44,-70.51,75.47,62,0,9.44
117,el sauzal,AR,-24.3,-64.96,78.8,34,20,3.18
118,birao,CF,10.3,22.78,73.4,95,64,2.62
119,broken hill,AU,-31.97,141.45,45.86,47,0,13.35
120,saint-francois,FR,46.42,3.91,75.2,41,0,4.7
121,hermanus,ZA,-34.42,19.24,54.32,89,88,10.89
122,chapais,CA,49.78,-74.86,75.2,60,90,17.22
123,athni,IN,16.73,75.07,71.42,88,64,9.55
124,ancud,CL,-41.87,-73.83,49.55,95,92,10.89
125,college,US,64.86,-147.8,48.02,92,75,4.07
126,khanpur,PK,28.65,70.66,81.5,78,0,2.17
127,provideniya,RU,64.42,-173.23,47.48,96,88,14.92
128,adeje,NG,5.68,5.76,78.44,87,88,7.43
129,yulara,AU,-25.24,130.99,51.8,27,76,4.7
130,lufilufi,WS,-13.87,-171.6,81.68,100,64,22.08
131,barrow,AR,-38.31,-60.23,72.86,74,0,6.53
132,fare,PF,-16.7,-151.02,77.63,100,92,19.06
133,san quintin,PH,17.54,120.52,78.8,94,20,4.7
134,stoyba,,,,,,,
135,alotau,,,,,,,
136,longyearbyen,NO,78.22,15.63,33.8,74,40,21.92
137,mareeba,AU,-16.99,145.42,71.6,78,20,8.05
138,bambous virieux,MU,-20.34,57.76,73.4,78,40,6.93
139,palu,ID,-0.9,119.87,68.36,92,80,1.28
140,christchurch,NZ,-43.53,172.64,42.8,93,8,10.29
141,castro,CL,-42.48,-73.76,48.11,99,92,10.67
142,kathu,ZA,-27.7,23.05,64.76,12,0,9.22
143,maniitsoq,GL,65.42,-52.9,40.37,96,0,6.42
144,tura,IN,25.52,90.21,76.1,90,20,1.5
145,cap-chat,CA,49.1,-66.68,53.33,100,92,15.48
146,airai,TL,-8.93,125.41,66.2,86,56,1.72
147,santa marinella,IT,42.04,11.87,74.79,94,0,1.61
148,atambua,ID,-9.11,124.89,75.65,100,68,7.65
149,yambio,,,,,,,
150,areka,ET,7.07,37.71,57.38,93,48,2.06
151,pemangkat,,,,,,,
152,motygino,RU,58.18,94.69,40.73,94,68,5.41
153,east london,ZA,-33.02,27.91,60.8,77,20,5.82
154,tuatapere,NZ,-46.13,167.69,39.47,100,12,9.22
155,kulhudhuffushi,MV,6.62,73.07,84.83,97,76,12.24
156,mao,DO,19.55,-71.08,84.27,83,75,5.82
157,cayenne,GF,4.94,-52.33,87.8,66,75,5.82
158,pocatello,US,42.87,-112.44,69.08,5,1,4.7
159,locri,IT,38.24,16.26,77,73,0,4.7
160,thiers,FR,45.86,3.55,75.2,44,0,4.7
161,sedhiou,SN,12.71,-15.56,83.75,92,32,1.95
162,abu samrah,SY,35.3,37.18,77.45,33,0,6.98
163,barra do garcas,BR,-15.89,-52.26,84.38,77,32,5.53
164,tuktoyaktuk,CA,69.44,-133.03,26.6,86,90,8.05
165,tshela,CD,-4.99,12.94,76.37,74,80,6.64
166,zhigansk,RU,66.77,123.37,39.56,85,0,10.78
167,waingapu,ID,-9.65,120.26,68,93,0,3.96
168,xinzhi,TW,22.54,120.62,81.41,83,75,3.36
169,shakhrinau,,,,,,,
170,belushya guba,,,,,,,
171,swan hill,AU,-35.34,143.56,47.3,54,0,12.57
172,kenai,US,60.55,-151.26,52.47,93,90,4.18
173,gardan diwal,,,,,,,
174,elat,CM,2.91,11.16,73.76,86,44,2.95
175,scottsburgh,,,,,,,
176,colares,PT,38.8,-9.45,78.3,38,0,11.41
177,altamira,BR,-3.2,-52.21,91.4,55,40,3.36
178,bontang,ID,0.12,117.47,80.51,100,12,5.97
179,acarau,,,,,,,
180,kodiak,US,39.95,-94.76,89.06,53,1,8.05
181,sola,NO,58.89,5.65,57.2,82,75,12.75
182,mahadday weyne,,,,,,,
183,maragogi,BR,-9.01,-35.22,81.05,80,0,12.57
184,fortuna,ES,38.18,-1.13,77.59,83,75,12.75
185,yellowknife,CA,62.45,-114.38,48.2,39,75,13.87
186,mount isa,AU,-20.73,139.49,42.8,28,0,6.98
187,jiangyou,CN,31.78,104.73,67.28,97,92,2.62
188,klaksvik,FO,62.23,-6.59,46.4,100,80,8.05
189,stokke,NO,59.22,10.3,57.2,82,0,10.29
190,sovetskaya gavan,RU,48.97,140.29,53.51,90,64,10.22
191,melioratorov,RU,57.21,65.61,53.6,62,0,11.18
192,gorontalo,ID,0.54,123.06,73.31,97,92,1.83
193,saint-philippe,CA,45.36,-73.48,83.71,48,1,8.05
194,garissa,KE,-0.46,39.64,80.51,42,0,16.15
195,emerald,AU,-23.53,148.16,62.33,79,0,13.47
196,suao,,,,,,,
197,vanimo,PG,-2.67,141.3,79.07,100,88,12.8
198,atar,MR,20.52,-13.05,101.21,19,0,7.43
199,lambarene,GA,-0.7,10.22,76.73,90,44,4.18
200,ghatanji,IN,20.14,78.32,77,78,24,3.74
201,moroni,US,39.52,-111.59,75.83,25,0,3.96
202,clyde river,CA,70.47,-68.59,37.4,51,20,11.41
203,mersing,MY,2.43,103.84,76.1,97,48,4.41
204,quatre cocos,MU,-20.21,57.76,73.4,78,40,6.93
205,lethem,GY,3.38,-59.8,94.55,60,0,7.87
206,issenye,CM,12.51,14.37,85.1,58,0,4.18
207,san ignacio,CL,-36.8,-72.03,55.4,93,90,9.17
208,hannoversch munden,DE,51.42,9.65,65.14,40,0,4.7
209,tsihombe,,,,,,,
210,samarai,PG,-10.62,150.67,77.27,100,92,20.51
211,nouadhibou,MR,20.93,-17.03,75.2,69,0,24.16
212,gao,ML,16.28,-0.04,93.11,45,0,3.74
213,cherskiy,RU,68.75,161.3,31.1,94,0,3.62
214,belen,TR,36.49,36.19,80.6,61,0,14.99
215,norman wells,CA,65.28,-126.83,42.8,56,40,11.41
216,los llanos de aridane,ES,28.66,-17.92,73.4,69,75,4.7
217,serebryansk,KZ,49.68,83.3,42.8,87,75,4.47
218,toora-khem,RU,52.47,96.11,28.67,92,88,2.17
219,kandrian,PG,-6.21,149.55,73.76,100,92,5.64
220,muros,ES,42.77,-9.06,66.2,68,20,4.7
221,haibowan,,,,,,,
222,ulladulla,AU,-35.36,150.48,44.6,87,36,6.93
223,rocha,UY,-34.48,-54.34,68,91,92,4.41
224,isabela,PH,10.2,122.99,72.5,99,44,1.95
225,lolua,,,,,,,
226,calamar,CO,1.96,-72.65,89.78,57,44,3.18
227,ambilobe,MG,-13.19,49.05,75.11,64,0,13.24
228,georgetown,GY,6.8,-58.16,84.2,83,75,11.41
229,wonthaggi,AU,-38.6,145.59,54.41,43,20,9.1
230,kaitangata,NZ,-46.28,169.85,35.15,86,0,8.88
231,port-gentil,GA,-0.72,8.78,78.8,83,75,9.17
232,north platte,US,41.12,-100.77,91.04,34,1,10.29
233,hami,CN,42.84,93.51,54.05,39,36,6.42
234,ngorongoro,TZ,-3.24,35.49,58.1,66,0,3.4
235,ulaangom,MN,49.98,92.07,35.87,95,92,2.62
236,karamea,,,,,,,
237,amli,,,,,,,
238,bayanday,RU,53.07,105.52,41.72,89,64,2.39
239,sechura,PE,-5.56,-80.82,73.76,78,0,13.47
240,alberton,ZA,-26.25,28.13,75.2,17,0,4.7
241,ayagoz,KZ,47.96,80.43,42.53,69,0,10.56
242,nalut,LY,31.86,10.98,84.38,27,0,9.22
243,ibra,OM,22.69,58.55,77.36,60,0,3.18
244,sitka,US,37.17,-99.65,89.24,56,0,12.01
245,torbay,CA,47.66,-52.73,57.2,76,75,10.29
246,port macquarie,AU,-31.43,152.91,42.8,93,0,3.36
247,victoria,BN,5.28,115.24,78.78,88,75,7.2
248,bathsheba,BB,13.22,-59.52,86,70,40,19.46
249,kamenka,RU,53.19,44.05,51.08,68,0,14.14
250,semey,KZ,50.41,80.25,45.14,80,0,5.75
251,srednekolymsk,RU,67.46,153.71,34.88,99,88,2.51
252,lompoc,US,34.64,-120.46,66.76,52,1,4.7
253,saint-joseph,FR,43.56,6.97,73.35,78,0,1.39
254,zabid,YE,14.2,44.5,64.67,24,8,5.75
255,touros,BR,-5.2,-35.46,82.58,71,0,18.28
256,longjiang,CN,47.33,123.18,56.66,53,76,7.99
257,maseru,LS,-29.31,27.48,61.88,15,0,6.76
258,saleaula,,,,,,,
259,mayo,CA,63.59,-135.9,33.8,64,5,2.24
260,santa isabel do rio negro,BR,-0.41,-65.02,85.91,75,44,5.53
261,mar del plata,AR,-46.43,-67.52,61.88,38,0,23.76
262,solginskiy,RU,61.05,41.34,46.22,81,8,9.1
263,romny,UA,50.74,33.49,52.16,62,0,5.97
264,isangel,VU,-19.55,169.27,73.31,100,92,17.6
265,constitucion,MX,23.99,-104.67,69.8,64,75,4.41
266,yushu,CN,44.84,126.53,46.49,85,20,3.4
267,ponta delgada,PT,37.73,-25.67,73.4,83,75,3.36
268,grand river south east,,,,,,,
269,korla,,,,,,,
270,manhush,UA,47.06,37.31,64.67,100,0,15.82
271,del rio,US,29.36,-100.9,82.94,77,75,11.41
272,qaqortoq,GL,60.72,-46.03,39.2,80,75,5.82
273,bargal,,,,,,,
274,hofn,IS,64.25,-15.21,46.4,81,75,13.87
275,praia da vitoria,PT,38.73,-27.07,75.2,69,20,8.21
276,padang,ID,-0.92,100.36,79.43,100,76,6.2
277,pringsewu,ID,-5.36,104.98,69.35,86,0,2.17
278,tabiauea,,,,,,,
279,chuka,KE,-0.33,37.65,70.61,54,12,7.99
280,avera,US,33.19,-82.53,93.65,51,40,8.05
281,cidreira,BR,-30.17,-50.22,63.32,100,92,8.21
282,dunedin,NZ,-45.87,170.5,32.63,86,0,5.97
283,khao yoi,TH,13.24,99.82,73.31,98,92,3.62
284,roebourne,AU,-20.77,117.15,71.96,27,0,10.45
285,hualmay,PE,-11.1,-77.61,72.59,63,24,7.43
286,acapulco,MX,16.86,-99.88,89.6,62,40,6.93
287,mount gambier,AU,-37.83,140.78,56.3,45,24,11.9
288,sept-iles,CA,50.2,-66.38,42.8,100,90,6.93
289,jardim,BR,-21.48,-56.15,71.78,100,92,7.2
290,petropavlovka,RU,50.61,105.32,38.48,78,12,3.74
291,chernyshevskiy,RU,63.01,112.47,37.13,93,0,2.28
292,capitan bado,PY,-23.27,-55.53,73.94,78,44,7.2
293,lerwick,GB,60.15,-1.15,53.6,87,92,11.41
294,soloneshnoye,RU,51.65,84.32,39.83,100,88,2.62
295,pochutla,MX,15.74,-96.47,88.84,62,20,8.05
296,wanaraja,ID,-7.17,107.98,64.31,99,80,1.83
297,geraldton,CA,49.72,-86.95,46.4,81,90,13.87
298,grindavik,IS,63.84,-22.43,50.85,66,75,8.05
299,svetlogorsk,RU,53.14,59.15,51.8,71,20,6.71
300,tabialan,,,,,,,
301,sindand,,,,,,,
302,caohai,CN,26.87,104.28,55.04,100,92,3.18
303,manzil tamim,,,,,,,
304,imbituba,BR,-28.24,-48.67,66.2,100,75,2.24
305,tuzha,CN,28.58,109.69,69.8,97,100,5.19
306,ilulissat,GL,69.22,-51.1,32,97,20,4.7
307,akyab,,,,,,,
308,saint george,GR,39.45,22.34,71.6,68,0,4.7
309,luwuk,ID,-0.95,122.79,78.08,92,80,4.29
310,yumen,CN,40.29,97.04,44.96,66,76,5.97
311,uniao da victoria,,,,,,,
312,tuy hoa,VN,13.08,109.3,75.74,100,92,5.64
313,azul,AR,-36.78,-59.86,70.52,87,12,5.75
314,sioux lookout,CA,50.1,-91.92,46.04,66,75,3.36
315,caraballeda,VE,10.61,-66.85,87.8,74,40,10.78
316,guilin,CN,25.28,110.29,75.2,94,90,4.47
317,bolungarvik,,,,,,,
318,awjilah,LY,29.14,21.3,81.5,32,0,7.2
319,high level,CA,58.52,-117.13,41,60,75,2.24
320,santa fe,AR,-31.62,-60.7,74.75,76,0,2.84
321,kysyl-syr,RU,63.9,122.77,38.57,69,20,7.43
322,emba,CY,34.81,32.42,76.93,73,20,3.36
323,valle hermoso,MX,25.67,-97.82,90.54,62,75,9.17
324,northam,GB,51.04,-4.21,62.92,87,20,8.05
325,luderitz,NA,-26.65,15.16,56.03,87,0,9.1
326,shepsi,RU,44.04,39.15,70.88,100,0,18.95
327,yar-sale,RU,66.83,70.83,46.31,99,64,18.61
328,guerrero negro,MX,27.97,-114.04,80.42,67,0,6.64
329,marsa matruh,EG,31.35,27.25,80.6,69,75,9.17
330,jalu,LY,29.03,21.55,81.5,34,0,7.65
331,tashla,RU,53.71,49.75,57.2,87,40,4.47
332,preston,GB,53.76,-2.71,66.2,82,40,14.99
333,mabaruma,GY,8.2,-59.78,80.96,93,92,5.3
334,sisimiut,GL,66.94,-53.67,37.58,76,0,2.62
335,matara,PE,-13.74,-72.9,62.6,36,24,2.51
336,auki,NG,12.18,6.51,77.18,83,24,3.4
337,lasa,CY,34.92,32.53,76.86,73,20,3.36
338,mangrol,IN,25.33,76.51,79.7,59,36,5.3
339,kaiwaka,NZ,-36.16,174.44,59.36,95,92,10.33
340,loubomo,,,,,,,
341,lady frere,ZA,-31.7,27.23,65.12,16,0,10.45
342,praia,BR,-20.25,-43.81,72.5,83,80,4.74
343,antalaha,MG,-14.9,50.28,70.43,94,68,11.68
344,tiksi,RU,71.64,128.87,34.43,100,88,9.44
345,halalo,,,,,,,
346,comodoro rivadavia,AR,-45.87,-67.48,66.2,25,40,26.4
347,formoso do araguaia,,,,,,,
348,lincoln,GB,53.23,-0.54,69.42,77,0,6.93
349,san patricio,PY,-26.98,-56.83,71.06,81,12,3.96
350,sistranda,NO,63.73,8.83,50,93,75,6.93
351,rongcheng,CN,37.16,122.42,60.98,94,44,2.39
352,coos bay,US,43.37,-124.22,60.39,72,1,8.05
353,paradwip,,,,,,,
354,paamiut,GL,61.99,-49.67,40.73,96,56,7.09
355,severomuysk,RU,56.17,113.57,26.33,83,68,1.61
356,kennesaw,US,34.02,-84.62,87.15,45,75,4.52
357,sulingen,DE,52.68,8.8,64.4,63,0,1.12
358,bihariganj,IN,25.73,86.98,76.91,89,76,6.31
359,magadan,RU,59.56,150.8,48.2,93,20,2.24
360,kavieng,PG,-2.57,150.8,78.8,100,92,3.62
361,kindu,CD,-2.95,25.92,70.07,100,32,0.94
362,araouane,ML,18.9,-3.53,96.98,33,0,5.53
363,chunhuhub,MX,19.59,-88.59,93.2,54,0,3.18
364,pangody,RU,65.85,74.49,38.3,90,44,10.56
365,kieta,PG,-6.22,155.63,76.1,100,68,2.73
366,tawang,BT,27.59,91.87,47.66,59,8,1.39
367,qasigiannguit,GL,68.82,-51.19,32,97,20,4.7
368,kargasok,RU,59.06,80.87,34.88,82,0,3.74
369,nicoya,CR,10.15,-85.45,89.6,55,40,4.7
370,san felipe,CL,-32.75,-70.73,62.6,48,75,11.41
371,baykit,RU,61.68,96.39,34.7,100,92,3.62
372,husavik,CA,50.56,-96.99,49.55,100,44,6.98
373,santa lucia,IT,39.93,9.66,71.6,92,32,4.63
374,opuwo,NA,-18.06,13.84,70.25,35,0,1.16
375,polovinnoye,RU,54.79,65.99,48.2,69,20,10.78
376,codrington,AU,-28.95,153.24,45.14,90,0,3.62
377,pevek,RU,69.7,170.27,39.56,100,88,13.02
378,sentyabrskiy,,,,,,,
379,mazatlan,MX,23.22,-106.42,86,74,75,3.36
380,zhangye,CN,38.94,100.46,39.38,80,8,2.95
381,youghal,IE,51.95,-7.85,60.8,100,90,24.16
382,margate,AU,-43.03,147.26,53.6,58,20,17.22
383,pires do rio,BR,-17.3,-48.28,79.25,81,32,8.43
384,sao joao da barra,BR,-21.64,-41.05,73.4,78,75,9.17
385,bundaberg,AU,-24.87,152.35,68.45,98,8,16.71
386,havelock,US,34.88,-76.9,83.5,79,75,14.99
387,porterville,US,36.07,-119.02,74.32,41,0,6.93
388,cinnaminson,US,40,-74.99,76.77,93,90,8.43
389,estelle,US,32.87,-97.01,90.03,50,75,8.05
390,bahraich,IN,27.58,81.6,78.44,84,0,4.63
391,kholm,RU,57.15,31.18,57.02,84,92,18.5
392,abu kamal,SY,34.45,40.92,82.76,29,8,5.19
393,vardo,US,39.62,-77.74,72.97,84,90,14.99
394,mae sai,MM,20.44,99.89,75.2,94,20,2.24
395,morrope,PE,-6.54,-80.02,71.6,64,0,23.04
396,kruisfontein,ZA,-34,24.73,59.9,91,56,7.2
397,port augusta,AU,-32.49,137.76,55.4,20,0,9.17
398,teguise,ES,29.06,-13.56,75.2,64,40,14.99
399,hithadhoo,MV,-0.6,73.08,83.93,100,80,10.11
400,nikolayevka,RU,46.73,38.57,63.05,91,0,14.81
401,fenoarivo,MG,-18.93,47.44,57.2,62,0,10.29
402,haines junction,CA,60.75,-137.51,34.97,69,0,0.72
403,nyurba,RU,63.29,118.35,38.03,70,8,4.97
404,oranjemund,ZA,-28.55,16.43,57.92,99,0,2.84
405,taybad,IR,34.74,60.78,60.08,31,0,5.97
406,lujan,AR,-46.57,-67.67,62.6,26,12,26.33
407,mae hong son,MM,19.3,97.96,71.78,96,88,2.06
408,honningsvag,NO,70.98,25.97,46.4,93,75,5.82
409,guider,CM,9.93,13.94,78.35,80,8,2.28
410,ust-maya,RU,60.42,134.54,39.65,76,48,5.41
411,caravelas,BR,-17.73,-39.27,76.46,98,48,15.03
412,mankovo-kalitvenskoye,,,,,,,
413,chapada dos guimaraes,BR,-15.46,-55.75,88.07,60,44,6.42
414,newport,GB,51.59,-3,65.05,77,0,6.93
415,linxia,CN,35.6,103.21,46.31,98,100,2.73
416,taltal,CL,-25.41,-70.49,66.56,69,0,2.62
417,amapa,HN,15.09,-87.97,91.4,55,40,11.41
418,novopokrovka,RU,45.85,134.51,47.75,62,0,4.63
419,naze,NG,5.43,7.07,82.4,83,75,4.7
420,cotonou,BJ,6.37,2.43,80.6,83,40,12.75
421,kiunga,PG,-6.12,141.3,71.69,99,92,2.39
422,marion,US,38.35,-97.02,86.61,63,1,10.29
423,sao felix do xingu,BR,-6.64,-51.99,90.77,52,12,2.73
424,burkhala,,,,,,,
425,katangli,RU,51.71,143.23,47.75,100,24,6.98
426,lixourion,GR,38.2,20.43,77.88,61,0,11.45
427,thinadhoo,MV,0.53,72.93,83.3,100,92,12.68
428,kavaratti,IN,10.57,72.64,83.3,100,88,7.2
429,villarrica,CL,-39.28,-72.23,47.84,93,92,5.41
430,curillo,CO,1.03,-75.92,79.7,75,8,2.28
431,matagami,NG,9.67,8.4,70.52,95,0,2.73
432,westport,IE,53.8,-9.52,60.8,93,90,16.11
433,mayumba,GA,-3.44,10.65,74.39,98,92,9.1
434,mecca,SA,21.43,39.83,85.73,51,92,3.18
435,owatonna,US,44.08,-93.23,85.06,62,40,8.05
436,katsuura,JP,33.93,134.5,71.96,100,76,4.29
437,yueyang,CN,29.36,113.12,76.1,96,80,1.72
438,varnamo,SE,57.19,14.04,53.6,81,0,6.93
439,belturbet,GB,54.1,-7.44,63.32,84,92,20.07
440,boysun,UZ,38.2,67.2,48.83,36,0,3.4
441,pisco,PE,-13.71,-76.2,71.6,30,0,11.41
442,beloha,MG,-25.17,45.06,72.14,57,0,9.78
443,anadyr,RU,64.73,177.51,41,93,40,13.42
444,laukaa,FI,62.42,25.95,48.2,93,75,9.17
445,ukiah,US,39.15,-123.21,66.92,48,1,2.62
446,kaura namoda,NG,12.59,6.58,76.73,86,8,2.39
447,bubaque,GW,11.28,-15.83,86,66,20,3.36
448,andenes,,,,,,,
449,hasaki,JP,35.73,140.83,68,100,75,3.36
450,zurrieq,MT,35.83,14.47,78.8,74,40,4.7
451,carnarvon,ZA,-30.97,22.13,51.71,31,20,11.23
452,beyneu,KZ,45.32,55.19,67.01,23,20,7.2
453,takoradi,GH,4.89,-1.75,77.81,97,20,7.99
454,samalaeulu,,,,,,,
455,fort saint john,,,,,,,
456,gizo,IL,31.8,34.94,80.6,69,20,5.82
457,yermakovskoye,RU,53.28,92.4,45.32,99,88,3.74
458,elizabeth city,US,36.3,-76.22,82.78,76,20,10.29
459,mocambique,,,,,,,
460,nieuwpoort,BE,51.13,2.75,66.38,59,0,5.82
461,dyadkovskaya,,,,,,,
462,kleck,,,,,,,
463,robertson,ZA,-33.8,19.88,52.61,65,32,5.97
464,waipawa,NZ,-39.94,176.59,52.97,95,92,6.42
465,lensk,RU,60.71,114.91,41.45,100,32,2.51
466,ahipara,NZ,-35.17,173.16,57.38,99,92,7.31
467,nador,MA,35.17,-2.93,78.8,83,0,2.24
468,toliary,,,,,,,
469,vila velha,BR,-3.71,-38.6,84.2,66,0,17.22
470,chihuahua,MX,28.66,-106.08,78.8,50,75,4.7
471,mitu,IR,36.2,46.09,59,44,0,3.29
472,egvekinot,RU,66.32,-179.17,39.38,98,92,2.95
473,kirakira,SB,-10.46,161.92,79.61,100,80,9.22
474,slave lake,CA,55.28,-114.77,39.2,80,90,8.05
475,tokmak,UA,47.26,35.7,53.51,63,0,7.2
476,ndola,ZM,-12.97,28.64,74.03,22,0,11.79
477,santa maria,BR,-29.69,-53.81,63.77,94,68,7.65
478,marcona,,,,,,,
479,kudahuvadhoo,MV,2.67,72.89,81.86,100,48,10.45
